##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	160123_I132_FCH3YHMBBXX_L4_OYSzenG1AAD96FAAPEI-109_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	364261046
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1112	16-17	-0.28505397572241264
1112	18-19	-0.2139716103933793
1112	20-21	-0.1771608716820694
1112	22-23	-0.10286857321766973
1112	24-25	-0.14301594605105095
1112	26-27	-0.2116473128867966
1112	28-29	-0.1320705656535779
1112	30-31	-0.21800974425882913
1112	32-33	-0.23420172548792806
1112	34-35	-0.29507698617511835
1112	36-37	-0.16264044192008953
1112	38-39	-0.2231225242292325
1112	40-41	-0.21590136327680653
1112	42-43	-0.24715422579000546
1112	44-45	-0.1899420820899067
1112	46-47	-0.3252464225562335
1112	48-49	-0.41822833133315385
1112	50-51	-0.3592180089234773
1112	52-53	-0.21968051375375808
1112	54-55	-0.22947240614317366
1112	56-57	-0.31861063471562545
1112	58-59	-0.2975942994202825
1112	60-61	-0.17416878748159803
1112	62-63	-0.18768511021509227
1112	64-65	-0.2632984016116282
1112	66-67	-0.3806039265165566
1112	68-69	-0.27382848859513587
1112	70-71	-0.21194955365556467
1112	72-73	-0.20324574120790118
1112	74-75	-0.4191915070331831
1112	76-77	-0.584190803180114
1112	78-79	-0.24413122495379014
1112	80-81	-0.050007268323980725
1112	82-83	-0.14101837104306725
1112	84-85	-0.18547224723577926
1112	86-87	-0.1871623856559026
1112	88-89	-0.16836475614728386
1112	90-91	-0.19999598394608142
1112	92-93	-0.1576690977217794
1112	94-95	-0.11807827852805275
1112	96-97	-0.14728653155555094
1112	98-99	-0.14324287498520505
1112	100	-0.14171774698369433
1113	1	0.01874191498335165
1113	2	-0.08986996653854717
1113	3	-0.352535140191641
1113	4	-0.1014388549901426
1113	5	-0.0998096920036744
1113	6	-0.174917151236464
1113	7	-0.10350114238806185
1113	8	-0.2171559310621589
1113	9	-0.1779169850918052
1113	10-11	-0.11230561105485748
1113	12-13	-0.14631651166348547
